country,election_year,similar_country,similar_election_year,distance
australia,2010,australia,2022,1.4715600107574724
australia,2010,uk,2017,1.6585947918432027
australia,2010,australia,2016,1.923262946859234
australia,2013,uk,2001,2.3742072840810375
australia,2013,australia,2010,2.4063039523289396
australia,2013,australia,2022,2.557131688206316
australia,2016,us,2016,0.9908661709702028
australia,2016,us,2004,1.1589494660357864
australia,2016,us,2000,1.207747097835818
australia,2019,us,2004,0.6807939585339502
australia,2019,us,2012,0.8189437210770888
australia,2019,us,2016,0.9868288230096203
australia,2022,australia,2010,1.4715600107574724
australia,2022,uk,2017,1.5825532241826683
australia,2022,australia,2016,1.6988880462090024
canada,2004,canada,2015,1.3414903717865172
canada,2004,uk,2005,1.5767285082292009
canada,2004,uk,2010,1.6613615140047107
canada,2006,canada,2015,1.2432348982700319
canada,2006,uk,2010,1.3416977189171486
canada,2006,uk,2015,1.865707285904832
canada,2008,uk,2015,1.7444713307056197
canada,2008,uk,2010,1.9330879950077826
canada,2008,canada,2006,2.205435889727748
canada,2015,uk,2010,1.1044083789452805
canada,2015,uk,2001,1.1766246649973768
canada,2015,canada,2006,1.2432348982700319
canada,2019,uk,2005,0.9195296148379287
canada,2019,uk,2017,1.8124342452046134
canada,2019,uk,2010,1.882726091308436
uk,1997,uk,2001,1.069041476754841
uk,1997,canada,2015,1.8447771290649917
uk,1997,uk,2010,2.4343424890004726
uk,2001,uk,1997,1.069041476754841
uk,2001,canada,2015,1.1766246649973768
uk,2001,canada,2004,1.7702071251860603
uk,2005,canada,2019,0.9195296148379287
uk,2005,uk,2017,1.1612007146978074
uk,2005,uk,2010,1.5440338435304501
uk,2010,uk,2015,0.9325704995883244
uk,2010,canada,2015,1.1044083789452805
uk,2010,canada,2006,1.3416977189171486
uk,2015,uk,2010,0.9325704995883244
uk,2015,canada,2008,1.7444713307056197
uk,2015,canada,2006,1.865707285904832
uk,2017,uk,2005,1.1612007146978074
uk,2017,australia,2022,1.5825532241826683
uk,2017,us,2000,1.5864770203634369
uk,2019,canada,2006,3.023389865171711
uk,2019,canada,2015,3.532243275417191
uk,2019,canada,2008,3.6783646035418047
us,2000,us,2016,0.7155928288266623
us,2000,australia,2016,1.207747097835818
us,2000,us,2004,1.3394854743119933
us,2004,us,2012,0.5796622632831768
us,2004,us,2016,0.6794266113753781
us,2004,australia,2019,0.6807939585339502
us,2008,us,2012,1.1426779009002457
us,2008,australia,2019,1.36167892467928
us,2008,us,2004,1.3628098610194448
us,2012,us,2004,0.5796622632831768
us,2012,australia,2019,0.8189437210770888
us,2012,us,2016,1.1126348806448059
us,2016,us,2004,0.6794266113753781
us,2016,us,2000,0.7155928288266623
us,2016,australia,2019,0.9868288230096203
