task,feature_set,model,metric,value
vote_share_regression,benchmark,final_polling_average,MAE,1.3115491966662662
vote_share_regression,benchmark,final_polling_average,RMSE,1.7230338400942018
winner_classification,benchmark,final_polling_average,election_winner_accuracy,0.9285714285714286
vote_share_regression,legacy_broad,ridge_regression,MAE,3.7049890468855806
vote_share_regression,legacy_broad,ridge_regression,RMSE,4.689118445151844
winner_classification,legacy_broad,ridge_regression,election_winner_accuracy,0.9285714285714286
winner_classification,legacy_broad,logistic_regression,election_winner_accuracy,0.8571428571428571
winner_classification,legacy_broad,logistic_regression,OOF_ROC_AUC,0.8349753694581281
winner_classification,legacy_broad,logistic_regression,row_accuracy_at_0.5,0.7906976744186046
vote_share_regression,recent_compact,ridge_regression,MAE,3.7242228358103837
vote_share_regression,recent_compact,ridge_regression,RMSE,4.936644979748653
winner_classification,recent_compact,ridge_regression,election_winner_accuracy,0.7857142857142857
winner_classification,recent_compact,logistic_regression,election_winner_accuracy,0.7142857142857143
winner_classification,recent_compact,logistic_regression,OOF_ROC_AUC,0.8226600985221675
winner_classification,recent_compact,logistic_regression,row_accuracy_at_0.5,0.7209302325581395
vote_share_regression,final_plus_recent,ridge_regression,MAE,2.2683708503968707
vote_share_regression,final_plus_recent,ridge_regression,RMSE,2.883069872713664
winner_classification,final_plus_recent,ridge_regression,election_winner_accuracy,0.9285714285714286
winner_classification,final_plus_recent,logistic_regression,election_winner_accuracy,0.7142857142857143
winner_classification,final_plus_recent,logistic_regression,OOF_ROC_AUC,0.8374384236453203
winner_classification,final_plus_recent,logistic_regression,row_accuracy_at_0.5,0.7209302325581395
