country,election_year,party_rows,actual_winner,polling_winner,winner_correct,actual_winner_pct,actual_winner_polling_average,actual_winner_poll_error,actual_margin,polling_margin,election_baseline_mae,election_ridge_mae
us,2000,3,DEM,REP,0,48.20364535317434,43.1830368,-5.020608553174334,0.30932680669865675,3.613314999999993,2.0638063666666655,5.652136077466486
us,2008,2,DEM,DEM,1,52.86371641269292,50.6827604,-2.180956012692924,7.229864489451991,7.022413,2.077230267966929,4.966713849588011
uk,2010,3,CON,CON,1,36.05428716982348,36.38,0.32571283017652064,7.0640156746903635,9.040000000000003,1.8895677697667992,3.394660852099605
us,2004,2,REP,REP,1,50.68196562112873,48.5291886,-2.1527770211287347,2.427148878251849,1.888849399999991,1.8836272820028057,5.054045802000331
uk,2015,3,CON,CON,1,36.80951151599356,35.160000000000004,-1.6495115159935594,6.359913380639004,2.3200000000000003,1.596615226580431,3.249136829030828
canada,2004,5,LPC,LPC,1,36.72929932408394,33.52,-3.2092993240839363,7.0972587529014675,2.16,1.577481064604295,7.473994611382939
uk,2001,3,LAB,LAB,1,40.67507571760156,43.94,3.2649242823984395,8.978281993324867,12.599999999999998,1.34011359691378,1.3289092151046613
uk,2005,3,LAB,LAB,1,35.18455629037208,37.24,2.055443709627923,2.8230160506343225,4.399999999999999,1.1421897064232276,0.9322831153356811
canada,2008,5,CPC,CPC,1,37.65330561863149,36.32,-1.333305618631492,11.39114146338078,10.879999999999999,1.1343237545768488,3.778116237533259
australia,2010,2,ALP (2PP),ALP (2PP),1,50.12,51.24,1.1200000000000045,0.23999999999999488,2.479999999999997,1.120000000000001,2.6387274751291194
uk,1997,3,LAB,LAB,1,43.20796614899999,45.84,2.63203385100001,12.552088320875693,15.100000000000005,0.9060610347119926,1.2806049917907518
canada,2006,5,CPC,CPC,1,36.2692402774378,36.94,0.6707597225621953,6.0379725965011275,8.459999999999997,0.8801630315231133,2.8367303474131855
australia,2013,2,L/NP (2PP),L/NP (2PP),1,53.49,53.0,-0.490000000000002,6.980000000000004,6.0,0.490000000000002,5.40712865317753
australia,2016,2,L/NP (2PP),L/NP (2PP),1,50.36,50.6,0.240000000000002,0.7199999999999989,1.2000000000000028,0.240000000000002,2.611949116079515
