Polling firm,Last date of polling,Link,Justin Trudeau,Candice Bergen,Jagmeet Singh,Yves-François Blanchet,Amita Kuttner,Maxime Bernier,Unsure,Margin of error[c],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unsure,Margin of error[c],Lead
Nanos Research,"September 9, 2022",[719],29.6,19.3,17.4,3.3,1.4,3.2,25.8,±3.0 pp,10.3
Nanos Research,"September 2, 2022",[720],31.1,18.8,16.9,3.1,1.4,3.3,25.4,±2.9 pp,12.3
Nanos Research,"August 26, 2022",[721],31.1,18.1,17.0,3.5,1.6,3.2,25.6,±2.9 pp,13.0
Nanos Research,"August 19, 2022",[722],30.1,19.2,17.1,3.6,2.2,3.4,24.4,±2.9 pp,10.9
Nanos Research,"August 12, 2022",[723],28.7,17.8,18.1,2.9,2.5,3.5,26.6,±2.9 pp,10.6
Nanos Research,"August 5, 2022",[724],26.7,18.2,19.0,3.6,3.0,3.3,26.2,±3.0 pp,7.7
Nanos Research,"July 29, 2022",[725],27.8,17.6,18.9,3.6,2.5,2.7,26.9,±3.0 pp,8.9
Nanos Research,"July 22, 2022",[726],27.3,16.6,18.8,3.7,2.3,2.7,28.7,±3.0 pp,8.5
Nanos Research,"July 15, 2022",[727],28.1,17.7,18.9,4.0,2.3,2.6,26.4,±3.0 pp,9.2
Nanos Research,"July 8, 2022",[728],29.9,18.1,17.5,3.2,2.1,2.4,26.5,±3.0 pp,11.8
Nanos Research,"July 1, 2022",[729],30.1,19.5,17.2,3.0,1.6,2.7,25.4,±3.0 pp,10.6
Nanos Research,"June 24, 2022",[730],31.0,18.5,16.9,2.9,1.7,3.8,25.3,±3.0 pp,12.5
Nanos Research,"June 17, 2022",[731],29.8,18.2,16.9,2.9,1.8,4.6,25.8,±3.0 pp,11.6
Nanos Research,"June 10, 2022",[732],29.8,19.3,16.0,3.7,2.1,4.8,24.3,±3.1 pp,10.5
Nanos Research,"June 3, 2022",[733],28.8,19.9,16.2,4.4,1.6,4.7,24.5,±3.0 pp,8.9
Nanos Research,"May 27, 2022",[734],30.7,20.6,16.5,4.5,1.6,3.9,22.2,±3.0 pp,10.1
Nanos Research,"May 20, 2022",[735],31.1,20.5,16.6,4.8,1.7,3.5,21.7,±3.0 pp,10.6
Nanos Research,"May 13, 2022",[736],31.9,20.3,17.4,4.4,1.5,2.8,21.7,±3.1 pp,11.6
Nanos Research,"May 6, 2022",[737],30.8,20.3,18.5,3.7,1.5,2.6,22.6,±3.1 pp,10.5
Nanos Research,"April 29, 2022",[738],29.7,21.5,16.8,4.4,1.6,3.2,22.9,±3.1 pp,8.2
Nanos Research,"April 22, 2022",[739],29.7,20.4,17.3,4.7,1.1,3.4,23.3,±3.1 pp,9.3
Nanos Research,"April 15, 2022",[740],29.7,19.1,17.4,4.9,1.4,4.2,23.2,±3.1 pp,10.6
Nanos Research,"April 8, 2022",[741],31.8,18.5,17.1,4.2,1.9,5.2,21.3,±3.1 pp,13.3
Nanos Research,"April 1, 2022",[742],30.0,16.9,19.0,4.1,1.8,4.8,23.3,±3.1 pp,11.0
Nanos Research,"March 25, 2022",[743],30.4,17.1,19.5,3.3,1.9,4.5,23.2,±3.1 pp,10.9
Nanos Research,"March 18, 2022",[744],30.0,18.5,19.3,3.1,1.2,4.7,23.2,±3.1 pp,10.7
Nanos Research,"March 11, 2022",[745],31.0,17.2,19.1,3.5,1.1,5.6,22.4,±3.1 pp,11.9
Nanos Research,"March 4, 2022",[746],30.6,18.0,17.5,3.2,1.1,6.1,23.4,±3.1 pp,12.6
Nanos Research,"February 25, 2022",[747],29.9,19.2,17.1,3.3,1.2,7.3,22.0,±3.1 pp,10.7
Nanos Research,"February 18, 2022",[748],28.6,19.2,16.7,3.4,1.5,8.0,22.5,±3.1 pp,9.4
