Survey end date,Pollster/Client,Con,Lab,LD,Lead
Survey end date,Pollster/Client,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Lead
1 May 1997,1997 general election,30.7%,43.2%,16.8%,12.5
30 Apr,ICM/Guardian,33%,43%,18%,10
30 Apr,Gallup/Telegraph,33%,46%,16%,13
30 Apr,MORI/Evening Standard,29%,47%,19%,18
29 Apr,Gallup/Telegraph,31%,51%,13%,20
29 Apr,Harris/Independent,31%,48%,15%,17
29 Apr,MORI/Times,27%,51%,15%,24
29 Apr,NOP/Reuters,28%,50%,14%,22
28 Apr,Gallup/Channel 4,31%,49%,14%,18
28 Apr,Gallup/Telegraph,29%,51%,13%,22
27 Apr,Gallup/Telegraph,30%,49%,14%,19
26 Apr,Gallup/Sunday Telegraph,31%,48%,13%,17
25 Apr,Gallup/Telegraph,32%,48%,14%,16
25 Apr,ICM/Observer,32%,47%,16%,15
25 Apr,NOP/Sunday Times,29%,47%,16%,18
24 Apr,Gallup/Telegraph,32%,48%,12%,16
24 Apr,MORI/Independent on Sunday,29%,53%,12%,24
23 Apr,Gallup/Telegraph,30%,50%,12%,20
22 Apr,Gallup/Channel 4,31%,50%,13%,19
22 Apr,Gallup/Telegraph,30%,51%,12%,21
22 Apr,MORI/Times,27%,48%,17%,21
21 Apr,Gallup/Telegraph,32%,48%,12%,16
21 Apr,ICM/Guardian,37%,42%,14%,5
20 Apr,Gallup/Telegraph,32%,48%,13%,16
20 Apr,Harris/Independent,30%,48%,15%,18
19 Apr,Gallup/Sunday Telegraph,31%,50%,13%,19
18 Apr,Gallup/Telegraph,32%,50%,13%,18
18 Apr,ICM/Observer,31%,48%,15%,17
18 Apr,NOP/Sunday Times,29%,47%,17%,18
17 Apr,Gallup/Telegraph,31%,50%,12%,19
16 Apr,Gallup/Telegraph,31%,50%,11%,19
15 Apr,Gallup/Telegraph,30%,51%,12%,21
15 Apr,MORI/Times,32%,49%,13%,17
14 Apr,Gallup/Telegraph,32%,49%,14%,17
14 Apr,Harris/Independent,31%,49%,13%,18
14 Apr,ICM/Guardian,31%,45%,19%,14
14 Apr,MORI/Evening Standard,29%,50%,15%,21
13 Apr,Gallup/Telegraph,30%,50%,14%,20
12 Apr,Gallup/Sunday Telegraph,31%,50%,13%,19
12 Apr,Gallup/Telegraph,32%,49%,14%,17
11 Apr,Gallup/Telegraph,32%,52%,11%,20
11 Apr,ICM/Observer,32%,48%,15%,16
11 Apr,NOP/Sunday Times,28%,49%,16%,21
10 Apr,Gallup/Telegraph,30%,52%,11%,22
9 Apr,Gallup/Telegraph,29%,53%,12%,24
8 Apr,Gallup/Telegraph,32%,51%,11%,19
8 Apr,MORI/Times,34%,49%,12%,15
7 Apr,Gallup/Telegraph,33%,53%,10%,20
7 Apr,Harris/Independent,28%,54%,12%,26
7 Apr,ICM/Guardian,34%,46%,15%,12
6 Apr,Gallup/Telegraph,30%,55%,10%,25
4 Apr,ICM/Observer,30%,50%,14%,20
4 Apr,MORI/Independent on Sunday,30%,55%,9%,25
4 Apr,NOP/Reuters,29%,52%,11%,23
4 Apr,NOP/Sunday Times,26%,53%,12%,27
3 Apr,Gallup/Channel 4,30%,54%,11%,24
3 Apr,Harris/Central News,29%,55%,11%,26
1 Apr,MORI/Times,28%,55%,11%,27
31 Mar,Harris/Independent,28%,52%,14%,24
31 Mar,ICM/Guardian,32%,46%,17%,14
28 Mar,Gallup/Telegraph,31%,52%,11%,21
24 Mar,Harris/Independent,28%,56%,10%,28
24 Mar,MORI/Times,29%,50%,14%,21
21 Mar,Gallup/Sunday Telegraph,27%,56%,11%,29
17 Mar,Gallup/Telegraph,28.5%,56.5%,9.5%,28
17 Mar,Harris/Independent,27%,58%,10%,31
14 Mar,NOP/Reuters,29%,54%,11%,25
13 Mar,NOP/Sunday Times,26%,54%,13%,28
10 Mar,Harris/Independent,26%,53%,14%,27
9 Mar,ORB/Ladbrokes,26%,56%,12%,30
4 Mar,Gallup/Telegraph,28%,54%,12.5%,26
3 Mar,Harris/Independent,30%,55%,10%,25
2 Mar,ICM/Guardian,30%,48%,16%,18
27 Feb,Wirral South by-election (Lab gain from Con),Wirral South by-election (Lab gain from Con),Wirral South by-election (Lab gain from Con),Wirral South by-election (Lab gain from Con),Wirral South by-election (Lab gain from Con)
24 Feb,MORI/Times,31%,52%,11%,21
21 Feb,NOP/Reuters,29%,51%,14%,22
13 Feb,NOP/Sunday Times,30%,49%,13%,19
4 Feb,Gallup/Telegraph,34%,49%,12%,15
2 Feb,ICM/Guardian,32%,48%,15%,16
28 Jan,MORI/Times,30%,55%,11%,25
16 Jan,NOP/Sunday Times,31%,54%,12%,23
15 Jan,Gallup/Telegraph,32.5%,50.5%,10.5%,18
5 Jan,ICM/Guardian,31%,48%,16%,17
5 Jan,ORB/Ladbrokes,30%,53%,12%,23
